cable_id,point_order,lat,lon
CG2,0,57.30158,10.53598
CG2,1,57.30987,10.56213
CG2,2,57.32877,10.62335
CG2,3,57.44588,10.9599
CG2,4,57.48487,11.2727
CG2,5,57.51543,11.5059
CG2,6,57.47733,11.74353
CG2,7,57.46635,11.82507
CG2,8,57.45608,11.9148
Kattegat2A,0,57.2381,10.54834
Kattegat2A,1,57.25287,10.56423
Kattegat2A,2,57.26348,10.65152
Kattegat2A,3,57.25885,10.73908
Kattegat2A,4,57.26067,10.7536
Kattegat2A,5,57.25628,10.79103
Kattegat2A,6,57.25233,10.86909
Kattegat2B,0,57.30917,11.19625
Kattegat2B,1,57.39863,11.48437
Kattegat2B,2,57.44917,11.64585
Kattegat2B,3,57.46658,11.7662
Kattegat2B,4,57.46273,11.77677
Kattegat2B,5,57.4647,11.82323
Kattegat2B,6,57.46743,11.85143
Kattegat2B,7,57.4664,11.89138
Kattegat2B,8,57.45608,11.9148
